"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20221001","경의선","공덕","3366","2391","20221004",""
"20221001","경의선","효창공원앞","2121","2224","20221004",""
"20221001","경의선","신촌","717","839","20221004",""
"20221001","경의선","서울역","1797","2059","20221004",""
"20221001","경원선","소요산","5811","4981","20221004",""
"20221001","경원선","동두천","2047","2557","20221004",""
"20221001","경원선","보산","2027","1974","20221004",""
"20221001","경원선","동두천중앙","3040","3117","20221004",""
"20221001","경원선","지행","6642","6427","20221004",""
"20221001","경원선","덕정","5609","4889","20221004",""
"20221001","경원선","덕계","3009","2683","20221004",""
"20221001","경원선","양주","8170","7800","20221004",""
"20221001","경원선","녹양","3988","3833","20221004",""
"20221001","경원선","가능","5631","5270","20221004",""
"20221001","경원선","의정부","20249","21661","20221004",""
"20221001","경원선","회룡","10946","11295","20221004",""
"20221001","경원선","망월사","6515","6529","20221004",""
"20221001","경원선","도봉산","10277","7109","20221004",""
"20221001","경원선","도봉","4983","4754","20221004",""
"20221001","경원선","방학","7964","7832","20221004",""
"20221001","경원선","녹천","3580","2931","20221004",""
"20221001","경원선","월계","5329","4773","20221004",""
"20221001","경원선","광운대","6190","5843","20221004",""
"20221001","경원선","석계","7442","7617","20221004",""
"20221001","경원선","신이문","6836","6090","20221004",""
"20221001","경원선","외대앞","7559","6628","20221004",""
"20221001","경원선","청량리(서울시립대입구)","19450","20252","20221004",""
"20221001","경원선","왕십리(성동구청)","14045","15864","20221004",""
"20221001","경원선","응봉","1690","1488","20221004",""
"20221001","경원선","옥수","42","42","20221004",""
"20221001","경원선","한남","2971","2951","20221004",""
"20221001","경원선","서빙고","2071","2176","20221004",""
"20221001","경원선","이촌(국립중앙박물관)","3631","2532","20221004",""
"20221001","경부선","광명","3426","3205","20221004",""
"20221001","경부선","서동탄","1183","1166","20221004",""
"20221001","수인선","남동인더스파크","1174","1046","20221004",""
"20221001","수인선","호구포","3703","3442","20221004",""
"20221001","분당선","이매","4683","4559","20221004",""
"20221001","분당선","보정","1786","1572","20221004",""
"20221001","분당선","죽전","11399","12477","20221004",""
"20221001","분당선","구성","3843","3920","20221004",""
"20221001","분당선","신갈","3171","3055","20221004",""
"20221001","분당선","기흥","7792","7180","20221004",""
"20221001","분당선","상갈","4484","4378","20221004",""
"20221001","분당선","청명","3179","3140","20221004",""
"20221001","분당선","영통","7888","7422","20221004",""
"20221001","분당선","망포","10417","9359","20221004",""
"20221001","분당선","매탄권선","4014","3609","20221004",""
"20221001","분당선","수원시청","12345","14146","20221004",""
"20221001","분당선","매교","3100","3172","20221004",""
"20221001","수인선","고색","2763","2726","20221004",""
"20221001","수인선","오목천","2742","2246","20221004",""
"20221001","수인선","어천","1035","904","20221004",""
"20221001","수인선","야목","339","275","20221004",""
"20221001","수인선","사리","4158","3392","20221004",""
"20221001","수인선","달월","112","115","20221004",""
"20221001","수인선","월곶","2820","2559","20221004",""
"20221001","수인선","소래포구","18879","20820","20221004",""
"20221001","수인선","인천논현","5385","5482","20221004",""
"20221001","수인선","원인재","4578","4778","20221004",""
"20221001","수인선","연수","4961","4915","20221004",""
"20221001","수인선","송도","2453","2399","20221004",""
"20221001","수인선","인하대","5722","5306","20221004",""
"20221001","수인선","숭의","3688","3332","20221004",""
"20221001","수인선","신포","1737","1702","20221004",""
"20221001","수인선","인천","1566","2636","20221004",""
"20221001","신림선","샛강","1025","1463","20221004",""
"20221001","신림선","대방","2185","1420","20221004",""
"20221001","신림선","서울지방병무청","1932","2079","20221004",""
"20221001","신림선","보라매","2191","1947","20221004",""
"20221001","신림선","보라매공원","1322","1415","20221004",""
"20221001","신림선","보라매병원","2929","3002","20221004",""
"20221001","신림선","당곡","2993","2643","20221004",""
"20221001","신림선","신림","1381","1754","20221004",""
"20221001","신림선","서원","2441","1956","20221004",""
"20221001","신림선","서울대벤처타운","6547","5650","20221004",""
"20221001","신림선","관악산(서울대)","3839","4122","20221004",""
"20221001","안산선","산본","13936","14785","20221004",""
"20221001","안산선","대야미","4469","3935","20221004",""
"20221001","안산선","반월","3918","3590","20221004",""
"20221001","안산선","상록수","13595","13617","20221004",""
"20221001","안산선","한대앞","8482","8406","20221004",""
"20221001","안산선","중앙","17754","18197","20221004",""
"20221001","안산선","고잔","8031","8029","20221004",""
"20221001","안산선","초지","4100","4080","20221004",""
"20221001","안산선","안산","11146","11822","20221004",""
"20221001","안산선","신길온천","1936","1831","20221004",""
"20221001","안산선","정왕","8016","7798","20221004",""
"20221001","안산선","오이도","9197","9508","20221004",""
"20221001","안산선","수리산","3285","2953","20221004",""
"20221001","우이신설선","북한산우이","4232","4213","20221004",""
"20221001","우이신설선","솔밭공원","2023","1902","20221004",""
"20221001","우이신설선","4.19민주묘지","2628","2246","20221004",""
"20221001","우이신설선","가오리","3343","3074","20221004",""
"20221001","우이신설선","화계","2778","2500","20221004",""
"20221001","우이신설선","삼양","1593","1612","20221004",""
"20221001","우이신설선","삼양사거리","2145","2065","20221004",""
"20221001","우이신설선","솔샘","4354","3792","20221004",""
"20221001","우이신설선","북한산보국문","5680","4763","20221004",""
"20221001","우이신설선","정릉","4123","3304","20221004",""
"20221001","우이신설선","성신여대입구(돈암)","2879","3391","20221004",""
"20221001","우이신설선","보문","1246","1193","20221004",""
"20221001","우이신설선","신설동","1583","1538","20221004",""
"20221001","일산선","원흥","8769","8103","20221004",""
"20221001","일산선","삼송","15798","14938","20221004",""
"20221001","일산선","원당","9169","8617","20221004",""
"20221001","일산선","화정","14244","14522","20221004",""
"20221001","일산선","대곡","1685","1417","20221004",""
"20221001","일산선","백석","8393","8482","20221004",""
"20221001","일산선","마두","5795","5880","20221004",""
"20221001","일산선","정발산","8633","9124","20221004",""
"20221001","일산선","주엽","7678","7538","20221004",""
"20221001","일산선","대화","10073","8811","20221004",""
"20221001","장항선","봉명","847","818","20221004",""
"20221001","장항선","쌍용(나사렛대)","2116","1819","20221004",""
"20221001","장항선","아산","4109","4119","20221004",""
"20221001","장항선","탕정","995","883","20221004",""
"20221001","장항선","배방","1206","1217","20221004",""
"20221001","장항선","온양온천","4554","4716","20221004",""
"20221001","장항선","신창(순천향대)","1646","1318","20221004",""
"20221001","중앙선","회기","24686","21928","20221004",""
"20221001","중앙선","중랑","5176","4851","20221004",""
"20221001","중앙선","상봉(시외버스터미널)","5669","5317","20221004",""
"20221001","중앙선","망우","7743","7224","20221004",""
"20221001","중앙선","양원","2328","2206","20221004",""
"20221001","중앙선","구리","11880","11952","20221004",""
"20221001","중앙선","도농","8862","8066","20221004",""
"20221001","중앙선","양정","680","619","20221004",""
"20221001","중앙선","덕소","5258","5211","20221004",""
"20221001","중앙선","도심","1878","1624","20221004",""
"20221001","중앙선","팔당","1771","2005","20221004",""
"20221001","중앙선","운길산","1900","1956","20221004",""
"20221001","중앙선","양수","2685","2796","20221004",""
"20221001","중앙선","신원","379","306","20221004",""
"20221001","중앙선","국수","961","890","20221004",""
"20221001","중앙선","아신","787","849","20221004",""
"20221001","중앙선","오빈","335","400","20221004",""
"20221001","중앙선","양평","3380","3732","20221004",""
"20221001","중앙선","원덕","535","649","20221004",""
"20221001","중앙선","용문","2725","3351","20221004",""
"20221001","중앙선","지평","70","98","20221004",""
"20221001","경부선","당정","4598","4280","20221004",""
"20221001","경부선","천안","8232","8803","20221004",""
"20221001","경부선","두정","6999","6825","20221004",""
"20221001","경부선","직산","900","857","20221004",""
"20221001","경부선","성환","4321","3741","20221004",""
"20221001","경부선","평택","16018","15665","20221004",""
"20221001","경부선","평택지제","4480","4018","20221004",""
"20221001","경부선","서정리","8846","6695","20221004",""
"20221001","경부선","송탄","5746","5034","20221004",""
"20221001","경부선","진위","1264","1127","20221004",""
"20221001","경부선","오산","10800","9945","20221004",""
"20221001","경부선","오산대","3565","3156","20221004",""
"20221001","경부선","세마","2577","2338","20221004",""
"20221001","경부선","병점","14375","13853","20221004",""
"20221001","경부선","세류","2985","3058","20221004",""
"20221001","경부선","독산","10181","9515","20221004",""
"20221001","경부선","수원","42789","47237","20221004",""
"20221001","경부선","화서","6547","6475","20221004",""
"20221001","경부선","성균관대","11763","11823","20221004",""
"20221001","경부선","의왕","6578","6235","20221004",""
"20221001","경부선","군포","4636","4193","20221004",""
"20221001","경부선","금정","21629","21591","20221004",""
"20221001","경부선","명학","5226","4809","20221004",""
"20221001","경부선","안양","19415","19323","20221004",""
"20221001","경부선","관악","6759","6557","20221004",""
"20221001","경부선","석수","7583","6965","20221004",""
"20221001","경부선","금천구청","9292","9128","20221004",""
"20221001","경부선","가산디지털단지","6989","9131","20221004",""
"20221001","경부선","구로","14200","14789","20221004",""
"20221001","경부선","신길","6607","5466","20221004",""
"20221001","경부선","신도림","3506","3733","20221004",""
"20221001","경부선","영등포","44321","46460","20221004",""
"20221001","경부선","대방","7840","8172","20221004",""
"20221001","경부선","노량진","10146","9170","20221004",""
"20221001","경부선","용산","43029","47320","20221004",""
"20221001","경부선","남영","6514","6496","20221004",""
"20221001","경부선","서울역","11088","3473","20221004",""
"20221001","경강선","여주","2971","3576","20221004",""
"20221001","경강선","세종대왕릉","433","497","20221004",""
"20221001","경강선","부발","2431","2138","20221004",""
"20221001","경강선","이천","3187","3430","20221004",""
"20221001","경강선","신둔도예촌","1449","1493","20221004",""
"20221001","경강선","곤지암","2388","2435","20221004",""
"20221001","경강선","초월","2585","2394","20221004",""
"20221001","경강선","경기광주","6569","5987","20221004",""
"20221001","경강선","삼동","1868","1706","20221004",""
"20221001","경강선","이매","1060","793","20221004",""
"20221001","경강선","판교","3564","3517","20221004",""
"20221001","9호선2~3단계","중앙보훈병원","5654","5254","20221004",""
"20221001","9호선2~3단계","둔촌오륜","785","759","20221004",""
"20221001","9호선2~3단계","올림픽공원(한국체대)","16354","18416","20221004",""
"20221001","9호선2~3단계","한성백제","4222","3869","20221004",""
"20221001","9호선2~3단계","송파나루","4547","5014","20221004",""
"20221001","9호선2~3단계","석촌","8064","6852","20221004",""
"20221001","9호선2~3단계","석촌고분","5042","4670","20221004",""
"20221001","9호선2~3단계","삼전","5614","4998","20221004",""
"20221001","8호선","암사","13548","12217","20221004",""
"20221001","7호선","온수(성공회대입구)","6051","5729","20221004",""
"20221001","7호선","천왕","7929","7218","20221004",""
"20221001","7호선","광명사거리","17780","17621","20221004",""
"20221001","7호선","철산","16594","16600","20221004",""
"20221001","7호선","가산디지털단지","15645","14161","20221004",""
"20221001","7호선","남구로","8755","9194","20221004",""
"20221001","7호선","대림(구로구청)","7845","8604","20221004",""
"20221001","7호선","신풍","8780","8298","20221004",""
"20221001","7호선","보라매","5752","5692","20221004",""
"20221001","7호선","신대방삼거리","11678","10408","20221004",""
"20221001","7호선","장승배기","6911","6372","20221004",""
"20221001","7호선","상도","9368","7915","20221004",""
"20221001","7호선","숭실대입구(살피재)","10933","9187","20221004",""
"20221001","7호선","남성","8395","7379","20221004",""
"20221001","7호선","이수","12827","11796","20221004",""
"20221001","7호선","내방","8279","8022","20221004",""
"20221001","7호선","고속터미널","17931","14130","20221004",""
"20221001","7호선","반포","5068","4815","20221004",""
"20221001","7호선","논현","10744","11405","20221004",""
"20221001","7호선","학동","11604","12286","20221004",""
"20221001","7호선","강남구청","10871","12227","20221004",""
"20221001","7호선","청담","12389","13442","20221004",""
"20221001","7호선","뚝섬유원지","14405","13672","20221004",""
"20221001","7호선","건대입구","11774","12549","20221004",""
"20221001","7호선","어린이대공원(세종대)","12597","11829","20221004",""
"20221001","7호선","군자(능동)","11790","8769","20221004",""
"20221001","7호선","중곡","7654","6901","20221004",""
"20221001","7호선","용마산(용마폭포공원)","4648","4914","20221004",""
"20221001","7호선","사가정","13351","12377","20221004",""
"20221001","7호선","면목","11956","11115","20221004",""
"20221001","7호선","상봉(시외버스터미널)","14284","13666","20221004",""
"20221001","7호선","중화","8209","7589","20221004",""
"20221001","7호선","먹골","8143","7481","20221004",""
"20221001","7호선","태릉입구","7204","6652","20221004",""
"20221001","7호선","공릉(서울과학기술대)","9295","8829","20221004",""
"20221001","7호선","하계","13733","12389","20221004",""
"20221001","7호선","중계","10297","9125","20221004",""
"20221001","7호선","노원","16773","17432","20221004",""
"20221001","7호선","마들","9873","8984","20221004",""
"20221001","7호선","수락산","10805","10372","20221004",""
