"국가별",2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018
"국가별",생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%)
"우크라이나",0.7,0.6,1.7,1.3,0.7,0.5,1.5,1.1,0.7,0.5,1.2,0.8,0.7,0.5,1.1,0.8,0.7,0.5,1.1,0.8,0.7,0.5,1.1,0.8
"영국",1.3,1.1,2.7,2.2,1.3,1.1,2.5,2.0,1.5,1.1,2.6,2.0,1.5,1.1,2.9,2.2,1.5,1.1,2.8,2.1,1.5,1.0,2.8,2.0
"아프리카",,,,,,,,,,,,,,,,,,,,,,,,
"알제리",2.9,2.3,1.2,1.0,2.9,2.4,1.3,1.1,2.9,2.3,1.4,1.1,3.3,2.6,1.4,1.1,3.3,2.5,1.4,1.1,3.4,2.4,1.6,1.1
"이집트",1.9,1.7,1.8,1.5,1.7,1.4,1.7,1.4,1.5,1.3,1.7,1.4,1.4,1.2,1.8,1.4,1.8,1.3,2.0,1.5,2.1,1.5,2.1,1.5
"리비아",0.4,0.4,-,-,0.4,0.4,-,-,0.5,0.4,-,-,0.5,0.3,-,-,0.5,0.3,-,-,0.5,0.3,-,-
"모로코",-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0
"나이지리아",1.2,1.1,-,-,1.4,1.1,-,-,1.7,1.4,-,-,1.5,1.3,-,-,1.7,1.3,-,-,1.7,1.3,-,-
"남아프리카공화국",-,-,0.1,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.2,0.1
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아",2.2,1.3,1.2,0.5,2.3,1.6,1.3,0.9,2.7,1.9,1.4,1.0,3.4,2.6,1.4,1.2,4.0,3.1,1.3,1.1,4.6,3.4,1.3,1.1
"뉴질랜드",-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1
